data
Facebook stores your data whether you have an account or not. 
Your identity is used in ads that are shown to other users 
The service can read your private messages 
This service can view your browser history 
Deleted content is not really deleted 
"Terms may be changed any time at their discretion, without notice to the user "
Third-party cookies are used for advertising 
This service tracks you on other websites 
The service can delete your account without prior notice and without a reason 
This service can license user content to third parties 
The service can read your private messages 
You sign away moral rights 
The service can delete specific content without prior notice and without a reason 
This service can share your personal information to third parties 
Tracking via third-party cookies for other purposes without your consent. 
The service can delete your account without prior notice and without a reason 
"The service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users. "
Users have a reduced time period to take legal action against the service 
"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service "
Your data may be processed and stored anywhere in the world 
This service does not track you 
The cookies used by this service do not contain information that would personally identify you 
IP addresses of website visitors are not tracked 
This service provides archives of their terms of service so that changes can be viewed over time 
No need to register 
This service can view your browser history 
Deleted videos are not really deleted 
Third-party cookies are used for advertising 
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service "
This service can use your content for all their existing and future services 
The service can delete specific content without prior notice and without a reason 
This service may keep personal data after a request for erasure for business interests or legal obligations 
The service collects many different types of personal data 
Tracking via third-party cookies for other purposes without your consent. 
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service "
They store data on you even if you did not interact with the service 
This service may keep personal data after a request for erasure for business interests or legal obligations 
Tracking via third-party cookies for other purposes including advertising 
This service tracks you on other websites 
This service can license user content to third parties 
The service can delete specific content without prior notice and without a reason 
You waive your moral rights 
Some personal data may be kept for business interests or legal obligations 
This service tracks you on other websites 
"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service "
The service can read your private messages 
You sign away moral rights 
The service can delete specific content without reason and may do it without prior notice 
This service holds onto content that you've deleted 
"Terms may be changed any time at their discretion, without notice to the user "
You waive your moral rights 
This service still tracks you even if you opted out from tracking 
This service holds onto content that you've deleted 
You must provide your identifiable information 
This service can share your personal information to third parties
This service does not track you 
The service will resist legal requests for user information where reasonably possible 
The cookies used by this service do not contain information that would personally identify you 
IP addresses of website visitors are not tracked 
The cookies used by this service do not contain information that would personally identify you 
The service can read your private messages 
This service can share your personal information to third parties 
The service can delete your account without prior notice and without a reason 
This service tracks you on other websites 
The service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.
They store data on you even if you did not interact with the service 
The service can read your private messages 
The service can delete specific content without reason and may do it without prior notice 
This service holds onto content that you've deleted 
App required for this service requires broad device permissions 
